👤UserName,⭐Rating,📝Content,💬DeveloperReply,📆Review_Year,📅Review_Month,📅Review_Day,⏰Review_Hour_12,🌓Review_AM_PM,🕰️Review_Period,🔢Comment_Length,📆Reply_Year,📅Reply_Month,📅Reply_Day,⏰Reply_Hour_12,🌓Reply_AM_PM,🧹Content_Clean,🎯 Theme,🧩 Subtheme,😊 Sentiment,🖊️ Notes,🌐 Language,Theme_GT,Subtheme_GT,Sentiment_GT
حميدلله عبد الغفار بديع الزمن,1,ممتاز جدا,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,7,7,PM,Evening,9,2025,8,8,11,AM,ممتاز جدا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Emad ahmed,5,ممتاز جداً,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,7,7,PM,Evening,10,2025,8,8,11,AM,ممتاز جدا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
samira posaily,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,7,5,PM,Afternoon,5,2025,8,7,6,PM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
للجروح أرواااح,5,ممتاز جدا جداً,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,7,3,PM,Afternoon,14,2025,8,7,6,PM,ممتاز جدا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
زياد الكندي,5,ممتاز ومفيد,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,7,1,PM,Afternoon,11,2025,8,7,2,PM,ممتاز ومفيد,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Mohamed Ahmad Elbealy,5,رايع جدا ويختصر الوقت,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,7,12,PM,Afternoon,21,2025,8,7,12,PM,رائع جدا ويختصر الوقت,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
الحاج حباباوي,5,ممتاذ,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,7,11,AM,Morning,5,2025,8,7,12,PM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Mahmoud Saeed,4,جيد جداً,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,7,9,AM,Morning,8,2025,8,7,12,PM,جيد جدا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
علي,5,ممتاز جداً,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,7,6,AM,Morning,10,2025,8,7,8,AM,ممتاز جدا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
Zz Bb,5,حلوووو,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,7,5,AM,Morning,6,2025,8,7,8,AM,حلو,User Experience & Sentiment,Ease Of Use,Positive,NA,Arabic,User Experience & Sentiment,Ease of Use,Positive
ابو ياسر,5,ممتاز,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,7,4,AM,Night,5,2025,8,7,8,AM,ممتاز,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
علاء هانى,5,ممتاز للغاية,"شكراً لمشاركتنا رأيك ،نتمنى لكم دوام الصحة والعافية",2025,8,7,2,AM,Night,12,2025,8,7,8,AM,ممتاز للغاية,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
رجائي البراهيم,1,تسجيل موعد لا يكتمل... بعد اخر تحديث,"شاكرين لك وقتك وتقييمك، كما نعتذر عن الصعوبات التي تواجهك لطفًا تواصل معنا عبر حسابنا الرسمي في تويتر : @Sehhatyapp
أو عبر بريدنا الإلكتروني:
‏Support@sehhaty.sa",2025,8,7,12,AM,Night,36,2023,10,3,8,AM,تسجيل موعد لا يكتمل. بعد اخر تحديث,Technical Performance,Stability,Negative,NA,Arabic,Technical Performance,Stability,Negative
Khaled Hamas,5,شكراً,"شاكرين لك تقييمك , نتمنى لك دوام الصحة والعافية",2025,8,6,11,PM,Night,5,2025,8,7,8,AM,شكرا,User Experience & Sentiment,Overall Satisfaction,Positive,NA,Arabic,User Experience & Sentiment,Overall Satisfaction,Positive
